gene	mean	median	longest_isoform	merged
Kdelc1	2324	2324	2324	2324
Bivm	3571	3571	3571	3571
Ercc5	4010	4010	4010	4010
Mettl21e	3181	3181	3181	3181
Gulp1	2976	2976	2976	2976
4930521E06Rik	906	906	906	906
Col3a1	5564	5564	5564	5564
Col5a2	6615	6615	6615	6615
Wdr75	2612	2612	2612	2612
Slc40a1	3380	3380	3380	3380
Stk-ps2	3423	3423	3483	3483
Dnah7b	12318	12318	12318	12318
Slc39a10	4961	4961	4961	4961
Mir6350	105	105	105	105
Tmeff2	3339	3339	3339	3339
9330175M20Rik	2552	2552	2552	2552
Sdpr	3055	3055	3055	3055
Nabp1	2838	2838	2838	2838
Myo1b	4966	4966	5053	5053
Stat4	2826	2826	2990	3151
Stat1	5152	5153	5168	5356
Gls	4696	4696	4973	7487
Nab1	5088	5088	5088	5088
Tmem194b	3371	3371	3394	3394
Mfsd6	4059	4059	4769	5590
Inpp1	1774	1774	1774	1774
Hibch	1704	1704	1704	1704
1700019D03Rik	834	834	834	834
Mstn	2682	2682	2682	2682
1700019A02Rik	627	627	627	627
Pms1	3030	3030	3030	3030
Ormdl1	1846	1846	1846	1846
Osgepl1	1868	1867	1947	1947
Asnsd1	1726	1726	2442	2442
Dnah7a	12272	12272	12272	12272
Stk17b	3278	3278	3278	3278
Hecw2	6154	6154	11179	11334
Mir7681	72	72	72	72
Ccdc150	3807	3807	3807	3807
Gtf3c3	3005	3005	3005	3005
Pgap1	10579	10579	10579	10579
Ankrd44	6140	6140	6140	6140
Sf3b1	6191	6191	6191	6191
Coq10b	1658	1658	1733	1733
Hspd1	2332	2332	2332	2332
Hspe1	768	768	768	768
Mob4	2826	2826	2826	2826
Rftn2	3676	3676	3676	3676
Mars2	2882	2882	2882	2882
Boll	1059	1059	1087	1258
Plcl1	6555	6555	6555	6555
9130227L01Rik	1906	1906	1906	1906
1700003I22Rik	453	453	482	482
Hsfy2	1401	1401	1401	1401
Satb2	5286	5286	5286	5286
9130024F11Rik	2485	2485	3728	3728
BC055402	3304	3304	3304	3304
4930558J18Rik	2052	2052	2052	2052
1700066M21Rik	3007	3007	3007	3007
Tyw5	1401	1403	1419	1438
9430016H08Rik	1325	1325	1325	1325
Spats2l	3837	3837	3932	4045
Kctd18	2458	2615	2647	2733
Sgol2a	4815	4815	5314	5416
Aox1	4382	4382	4382	4382
Aox3	4360	4360	4360	4360
Aox4	4972	4972	4972	4972
Aox2	4776	4776	4776	4776
Bzw1	2833	2833	2833	2833
Clk1	2219	1830	3088	3088
Ppil3	1174	1189	1421	1965
Nif3l1	2106	2106	2106	2106
Orc2	3382	3555	3561	3561
Fam126b	8695	8695	8695	8695
Ndufb3	532	532	532	532
Gm20257	936	936	936	936
Als2cr12	1576	1576	1576	1576
Cflar	5922	6949	7238	8352
Casp8	2508	2528	2585	2893
Trak2	6240	6240	6240	6240
Stradb	2317	2317	2317	2317
Als2cr11	2131	2131	2131	2131
Tmem237	1845	1845	1868	1972
Mpp4	2663	2663	2982	3087
Als2	5385	6512	6681	7024
Cdk15	1477	1477	1477	1477
Fzd7	4809	4809	4809	4809
Gm973	3595	3595	3595	3595
Sumo1	1215	1215	1215	1215
Nop58	1976	1976	1976	1976
Snord70	53	53	53	53
Snord11	63	63	63	63
Bmpr2	11087	11087	11087	11087
Fam117b	5534	5534	5534	5534
Ica1l	3650	3650	3650	3650
Wdr12	2957	2928	3106	3376
Carf	5381	5415	5684	5789
Nbeal1	12108	12108	12108	12108
Cyp20a1	1501	1501	1501	1501
Abi2	5484	5773	5875	5974
Raph1	9117	9117	9117	9117
Cd28	4317	4317	4317	4317
Ctla4	1878	1878	1933	1933
Icos	3255	3255	3255	3255
9530026F06Rik	892	892	892	892
Pard3b	8392	8392	8392	8392
Nrp2	6038	6680	6739	8122
4930487H11Rik	895	895	895	895
Ino80d	13483	13483	13529	13529
Ino80dos	1654	1654	1728	1802
Ndufs1	2796	2796	2927	2927
Eef1b2	1933	1933	1933	1933
Snora41	113	113	113	113
Gpr1	1798	1798	1798	1798
Zdbf2	12636	12634	12705	13128
Adam23	4767	4767	6656	6877
Dytn	2427	2427	2427	2427
Mdh1b	1711	1711	1711	1711
Fastkd2	3205	3205	3205	3205
4933402D24Rik	1756	1756	1756	1756
Gm13749	1432	1432	1432	1432
Mir1958	35	35	35	35
Klf7	1336	1336	1336	1336
Mir6899	64	64	64	64
Creb1	8352	8379	8421	8421
Mettl21a	2666	2666	2666	2666
2810408I11Rik	713	713	713	713
Ccnyl1	2925	2925	2925	2925
Fzd5	6860	6860	6914	6914
Plekhm3	8562	8562	8562	8562
Akr1cl	1353	1353	1353	1353
Cryge	642	642	642	642
Crygd	635	635	635	635
Crygc	627	627	629	629
Crygb	633	633	633	633
Cryga	615	615	615	615
D630023F18Rik	1846	2183	2201	2667
Idh1	2274	2274	2285	2438
Pikfyve	11255	11255	11255	11255
Pth2r	2414	2414	2414	2414
Crygf	622	622	622	622
Map2	5473	5473	5520	5520
Unc80	13533	13533	13533	13533
Rpe	2630	2630	2630	2630
Kansl1l	4641	4641	4655	4760
Acadl	1948	1948	1948	1948
Myl1	905	905	994	1110
Lancl1	4327	4277	4461	4461
Cps1	5562	5562	5562	5562
Erbb4	4257	4257	4257	4257
Ikzf2	9421	9421	9421	9421
Spag16	2345	2144	3589	4892
Vwc2l	4655	4655	4655	4655
Bard1	5448	5448	5448	5448
Abca12	8323	8323	8323	8323
Atic	2611	2611	2611	2611
Fn1	7951	7882	8425	8425
Apol7d	1193	1193	1193	1193
Gm8883	859	859	1019	1019
4933417E11Rik	1093	1093	1093	1093
Mreg	2493	2493	2493	2493
Pecr	1185	1185	1185	1185
Tmem169	2815	2815	2815	2815
Xrcc5	2556	2556	2556	2556
March4	4187	4187	4187	4187
Smarcal1	6715	6715	6715	6715
Ankar	4573	4573	4573	4573
Rpl37a	588	588	588	588
Igfbp2	1327	1327	1327	1327
Igfbp5	5854	5854	5854	5854
Tnp1	426	426	426	426
1700027A15Rik	379	379	416	571
Pinc	1560	1560	1560	1560
D530049I02Rik	551	551	551	551
6030407O03Rik	1801	1801	1801	1801
Mir6351	99	99	99	99
Tns1	9935	9935	9966	9968
Rufy4	2321	2321	2336	2336
Cxcr2	3043	3043	3043	3043
Cxcr1	1124	1124	1124	1124
Mir1928	67	67	67	67
Arpc2	1597	1597	1597	1597
Gpbar1	990	990	990	990
Aamp	1818	1818	1820	1820
Pnkd	2152	2865	2956	3500
Tmbim1	2309	2309	2309	2309
Catip	2101	2101	2101	2101
Slc11a1	2304	2304	2304	2304
Ctdsp1	2776	2776	2776	2776
Mir26b	85	85	85	85
Vil1	3117	3117	3117	3117
Usp37	7196	7196	7196	7196
Rqcd1	3266	3266	3266	3266
Plcd4	2857	2857	2981	3121
Zfp142	7472	7472	7472	7472
Bcs1l	1854	1854	1901	1901
Rnf25	1477	1477	1479	1479
Stk36	5234	5234	5234	5234
Ttll4	4253	4253	4253	4253
Cyp27a1	1890	1890	1890	1890
Prkag3	2832	2832	2832	2832
Wnt6	2068	2068	2068	2068
Wnt10a	1961	1961	1961	1961
Cdk5r2	2704	2704	2704	2704
Fev	1479	1479	1479	1479
Cryba2	720	720	720	720
Mir375	64	64	64	64
Ccdc108	5718	5718	5718	5718
Ihh	2444	2444	2444	2444
Nhej1	846	846	846	846
Slc23a3	2058	2058	2058	2058
Cnppd1	2738	2738	2738	2738
Fam134a	2445	2446	2557	2676
Zfand2b	1213	1203	1237	1299
Abcb6	2933	2933	2933	2933
Atg9a	3904	3857	4104	4107
Ankzf1	1951	1970	2768	3050
Glb1l	3451	3451	3451	3451
Stk16	2882	2885	2905	2905
Tuba4a	2053	2053	2053	2053
A630095N17Rik	691	691	735	767
Dnajb2	2122	1904	3053	3203
Ptprn	3535	3535	3535	3535
Resp18	710	710	710	710
Dnpep	1731	1731	1819	1946
Des	3065	3065	3065	3065
Gm15179	676	676	676	676
Speg	6368	6640	10787	11925
Gmppa	1528	1528	1528	1528
Asic4	2650	2650	2650	2650
Chpf	3163	3163	3235	3235
Tmem198	2185	2185	2185	2185
Obsl1	5770	5770	5770	5770
Inha	1463	1463	1463	1463
Stk11ip	4458	4458	4458	4458
Slc4a3	4441	4441	4441	4441
Gm17751	2096	2096	2188	2188
Mir6343	84	84	84	84
Epha4	6328	6328	6328	6328
Mir6352	116	116	116	116
Pax3	3622	3622	3868	3868
Sgpp2	3998	3998	3998	3998
Farsb	2189	2197	2274	2539
Mogat1	1206	1206	1206	1206
Acsl3	3717	3810	3950	3950
Utp14b	3698	3698	3702	3981
Kcne4	2463	2463	2463	2463
Scg2	2485	2485	2485	2485
Ap1s3	2876	2876	2876	2876
Wdfy1	2634	2634	4551	4714
Mrpl44	1424	1424	1424	1424
Serpine2	2055	2055	2055	2055
Fam124b	2862	2862	2862	2862
Cul3	2764	2764	2764	2764
1700016L21Rik	394	394	394	394
Dock10	7316	7316	7324	7552
Nyap2	4906	4906	4906	4906
Mir6344	104	104	104	104
Irs1	9163	9163	9163	9163
Rhbdd1	3599	3599	3688	3758
Col4a4	7808	7808	7808	7808
Col4a3	8609	8609	8609	8609
Mff	1865	1865	1865	1865
Tm4sf20	1503	1503	1503	1503
Agfg1	3137	3137	3137	3137
Slc19a3	2974	2974	2974	2974
Ccl20	800	800	802	802
Daw1	1500	1500	1648	1668
Sphkap	6512	6512	6512	6512
Pid1	2667	2667	2667	2667
Mir6353	113	113	113	113
Dner	3632	3632	3632	3632
Mir5126	77	77	77	77
Trip12	9632	9632	9632	9632
Fbxo36	900	900	900	900
Slc16a14	2349	2349	2349	2349
A530032D15Rik	1760	1760	1760	1760
Gm7609	1611	1611	1611	1611
C130026I21Rik	1929	1929	1971	1971
Sp110	1927	1927	1940	1971
Sp140	2416	2416	2416	2416
Sp100	2158	2158	2158	2158
A630001G21Rik	1936	1936	1936	1936
Mir8096	127	127	127	127
9930111H07Rik	821	821	821	821
Cab39	3800	3800	3800	3800
Itm2c	2024	2024	2024	2024
4933407L21Rik	1148	1148	1148	1148
Gpr55	2550	2550	2550	2550
Spata3	1002	1077	1107	1602
2810459M11Rik	3329	3329	3331	3331
Psmd1	3256	3256	3256	3256
Htr2b	2072	2072	2072	2072
Armc9	3659	3659	5157	5256
B3gnt7	2595	2595	2595	2595
Ncl	8257	8257	8257	8257
Snora75	116	116	116	116
Gm24148	147	147	147	147
Snord82	68	68	68	68
C130036L24Rik	1266	1266	1266	1266
Nmur1	1218	1218	1218	1218
1700019O17Rik	1721	1721	1721	1721
Ptma	1192	1192	1192	1192
Pde6d	1092	1092	1092	1092
Cops7b	2231	2231	2231	2231
Nppc	1042	1042	1042	1042
Dis3l2	3150	3150	3171	3171
Alppl2	2112	2112	2112	2112
Alpi	2337	2337	2337	2337
Akp3	1680	1680	1680	1680
Ecel1	2872	2872	2876	2985
Prss56	1999	1999	1999	1999
Chrnd	2965	2965	2965	2965
Chrng	1921	1921	1921	1921
Eif4e2	2487	2260	3394	4928
Efhd1	1805	1805	1805	1805
Gigyf2	5734	5734	5743	5743
Kcnj13	1349	1349	1349	1349
3110079O15Rik	462	462	462	462
Ngef	2932	2932	3114	3384
Neu2	1664	1666	1743	2013
Inpp5d	4851	4853	4940	4940
Atg16l1	3129	3132	3180	3180
Scarna6	248	248	248	248
Sag	1718	1718	1718	1718
Dgkd	5694	5694	5694	5694
Usp40	5182	5182	5316	5316
Ugt1a10	3242	3242	3242	3242
Ugt1a9	3216	3216	3216	3216
Ugt1a7c	3294	3294	3294	3294
Ugt1a6b	2293	2293	2293	2293
Ugt1a6a	3302	3302	3302	3302
Ugt1a5	3208	3208	3208	3208
Ugt1a2	3206	3206	3206	3206
Dnajb3	1017	1017	1017	1017
Ugt1a1	3229	3229	3229	3229
Mroh2a	7502	7502	7502	7502
Hjurp	8439	8439	8439	8439
6430706D22Rik	3638	3638	3638	3638
A730008H23Rik	2217	2217	2217	2217
Trpm8	3844	3844	3844	3844
Spp2	870	870	870	870
Glrp1	1957	1957	1957	1957
Gm19589	2622	2622	2622	2622
Arl4c	3966	3966	3966	3966
Platr5	476	476	476	476
1700067G17Rik	603	603	603	603
Sh3bp4	3673	3673	3673	3673
C030007H22Rik	589	589	589	589
Agap1	9501	9501	9581	9581
4933400F21Rik	3611	3611	3611	3611
Gbx2	2126	2126	2126	2126
Asb18	1404	1404	1404	1404
Iqca	3210	3210	3210	3210
Ackr3	2177	2177	2319	2319
Cops8	1843	1843	1843	1843
Col6a3	9930	9930	10841	10841
Mlph	4484	4484	4484	4484
Prlh	261	261	261	261
Rab17	1674	1674	1790	1950
Lrrfip1	2872	2849	3662	5743
Rbm44	3851	3851	3851	3851
Ramp1	1444	931	2549	3022
Ube2f	1363	1363	1363	1363
Scly	2207	2207	2207	2207
Espnl	5442	5442	5442	5442
Klhl30	3020	3020	3020	3020
Fam132b	2815	2815	2815	2815
Ilkap	1368	1368	1368	1368
1700020N18Rik	547	547	547	547
Hes6	1335	1335	1335	1335
Per2	5837	5837	5837	5837
Traf3ip1	3500	3500	3500	3500
Asb1	5871	5871	5971	6072
Twist2	1312	1312	1312	1312
Hdac4	3945	3945	3945	3945
Ndufa10	1209	1209	1209	1209
Mir6900	60	60	60	60
Olfr1416	939	939	939	939
Olfr1415	936	936	936	936
Olfr1414	1189	1189	1189	1189
Olfr1413	1082	1082	1082	1082
Olfr1412	966	966	966	966
Olfr1411	972	972	972	972
Olfr1410	969	969	969	969
Olfr12	1121	1121	1121	1121
Myeov2	556	556	674	711
Otos	704	704	704	704
Gpc1	3552	3552	3552	3552
Mir149	66	66	66	66
Ankmy1	3243	3243	3243	3243
Dusp28	1491	1491	1491	1491
Rnpepl1	3039	3039	3039	3039
9430060I03Rik	1672	1672	1672	1672
Capn10	2877	2877	2877	2877
Gpr35	4055	3997	4233	4498
Aqp12	1086	1086	1088	1088
Kif1a	8234	8255	8270	8321
Agxt	1553	1553	1553	1553
2310007B03Rik	2297	2297	2302	2362
Sned1	4474	4474	4474	4474
Mir6901	62	62	62	62
Mterf4	3315	3315	3315	3315
Pask	5119	5119	5119	5119
Ppp1r7	3653	3653	3653	3653
Mir6902	64	64	64	64
Mir6345	128	128	128	128
Ano7	3959	3959	4019	4019
Hdlbp	6305	6305	6347	6469
Sept2	3224	3220	3266	3334
Farp2	3912	3912	3912	3912
Stk25	3254	3254	3254	3254
Bok	1432	1432	1432	1432
Thap4	2160	2160	2160	2160
Atg4b	2964	2964	2964	2964
Dtymk	828	828	1003	1310
Ing5	4538	4538	4538	4538
D2hgdh	3058	3058	3058	3058
Gal3st2	2846	2846	2846	2846
Gm9994	1185	1185	1185	1185
Gm6086	4059	4059	4059	4059
Neu4	4507	4507	4507	4507
Pdcd1	1930	1930	1930	1930
4930440C22Rik	1565	1565	1565	1565
Fam174a	2107	2107	2107	2107
St8sia4	3403	3403	5413	5677
4930598F16Rik	761	761	761	761
1700063A18Rik	356	356	356	356
4930533P14Rik	583	583	583	583
Slco4c1	2394	2394	2394	2394
Panct2	3917	3917	3917	3917
Slco6b1	2475	2475	2475	2475
Slco6c1	2433	2433	2433	2433
D1Ertd622e	2738	2738	2738	2738
Ppip5k2	5568	5568	5568	5568
Gin1	2041	2041	2041	2041
Pam	4103	4103	4103	4103
B230216N24Rik	1178	1178	1178	1178
1810006J02Rik	1687	1687	1687	1687
Slco6d1	2261	2261	2328	2328
Cntnap5b	5120	5120	5120	5120
Gm20268	886	886	886	886
Cdh20	3722	3722	3722	3722
Rnf152	8467	8467	8529	8529
Pign	6777	6777	6777	6777
2310035C23Rik	5370	5370	5406	5406
Tnfrsf11a	5022	5022	5022	5022
Zcchc2	6232	6232	6663	6663
Gm20753	545	545	545	545
Phlpp1	6104	6104	6104	6104
Bcl2	4862	4862	7207	7738
Mir3473f	136	136	136	136
Kdsr	5582	5582	5582	5582
Vps4b	3272	3272	3272	3272
Serpinb5	2565	2565	2565	2565
Serpinb12	1653	1653	1687	1735
Serpinb13	1607	1607	1607	1607
Serpinb3a	1629	1629	1629	1629
Serpinb3d	1164	1164	1164	1164
Serpinb3b	1632	1632	1632	1632
Serpinb3c	1659	1659	1659	1659
Serpinb11	1699	1699	1699	1699
Serpinb7	1887	1887	1887	1887
Serpinb2	1981	1981	1991	2047
Serpinb10	3402	3402	3490	3490
Serpinb8	2153	2153	3075	3289
D830032E09Rik	2162	2162	2219	2219
Cdh7	3353	3353	3353	3353
Cdh19	3054	3054	3054	3054
Dsel	5763	5763	5763	5763
Cntnap5a	3915	3915	3915	3915
Tsn	3039	3039	3039	3039
Nifk	1894	1894	1894	1894
Clasp1	7683	7599	7875	7875
2900060B14Rik	597	597	597	597
Tfcp2l1	9270	9270	9270	9270
Gli2	6708	6708	6708	6708
Mir6346	80	80	80	80
Inhbb	4255	4255	4255	4255
Ralb	2277	2277	2277	2277
Tmem185b	2830	2830	2830	2830
3830432H09Rik	2414	2414	2414	2414
Epb4.1l5	4649	4649	6510	7746
Ptpn4	4706	4706	4706	4706
Tmem177	3292	3292	3292	3292
Cfap221	2511	2511	2511	2511
Sctr	1922	1922	1922	1922
Tmem37	1017	1017	1017	1017
Dbi	590	590	593	745
3110009E18Rik	751	751	1007	1089
Steap3	2941	2941	3128	3177
C1ql2	2000	2000	2000	2000
Marco	1985	1985	1985	1985
En1	2554	2554	2554	2554
Celrr	1449	1449	1580	1580
Insig2	2483	2457	2697	2953
Ccdc93	7254	7254	7256	7256
Htr5b	2004	2004	2004	2004
Ddx18	2249	2249	2249	2249
Dpp10	4630	4630	4630	4630
Actr3	2617	2554	2746	2746
Slc35f5	2597	2597	2597	2597
Gpr39	2689	2689	2689	2689
Lypd1	2044	2044	2044	2044
Nckap5	5751	7074	7213	7593
Mgat5	3104	3104	3104	3104
Tmem163	2517	2517	2517	2517
Acmsd	2303	2303	2303	2303
2900009J06Rik	464	464	464	464
Ccnt2	3514	3514	3514	3514
Map3k19	3936	3936	3936	3936
Rab3gap1	4251	4251	4251	4251
Zranb3	4154	4154	4224	4304
R3hdm1	4812	4812	4812	4812
Mir128-1	70	70	70	70
Ubxn4	4093	4093	4093	4093
Lct	6166	6166	6166	6166
Mcm6	2901	2901	2901	2901
Dars	1462	1462	2232	2509
Cxcr4	1814	1814	1814	1814
Thsd7b	6253	6253	6253	6253
Cd55b	1324	1324	1324	1324
Cd55	2526	2526	2526	2526
Zp3r	2034	2034	2034	2034
C4bp	1883	1883	1883	1883
C4bp-ps1	754	754	754	754
Pfkfb2	4507	4170	7308	9621
Yod1	3827	3827	3827	3827
AA986860	2909	2909	2909	2909
Fcamr	1827	1827	1911	1911
Pigr	3849	3849	3849	3849
Fcmr	1491	1491	1491	1491
Il24	1116	1116	1116	1116
Il20	824	824	824	824
Il19	1023	1023	1023	1023
Il10	1306	1306	1306	1306
Mapkapk2	2567	2567	2567	2567
Dyrk3	2072	2072	2072	2072
Eif2d	2049	2049	2122	2290
Rassf5	3405	3405	3405	3405
Ikbke	3203	3203	3203	3203
Srgap2	8040	8040	8040	8040
Fam72a	2105	2105	2105	2105
Avpr1b	4148	4148	4148	4148
Ctse	2120	2120	2120	2120
Rab7b	2523	2523	2523	2523
Slc26a9	3640	3640	3640	3640
Pm20d1	3540	3540	3540	3540
Slc41a1	4661	4661	4661	4661
Rab29	1191	1191	1191	1191
Nucks1	6094	6094	6096	6096
Slc45a3	3307	3307	3348	3486
Elk4	3671	3671	3671	3671
Mfsd4	3250	3250	3838	4853
Cdk18	3046	3046	3046	3046
Lemd1	983	983	983	983
Mir135b	97	97	97	97
Klhdc8a	4269	4269	4269	4269
Nuak2	3120	3120	3132	3132
Tmcc2	3410	3410	3410	3410
Dstyk	6385	6385	6385	6385
Rbbp5	3632	3632	3632	3632
Tmem81	1742	1742	1742	1742
Cntn2	9535	9535	9535	9535
Nfasc	9595	9606	9779	10379
Gm10538	1879	1879	1879	1879
Lrrn2	3346	3346	3346	3346
Mdm4	7199	7207	7298	7354
Pik3c2b	7929	7929	7929	7929
Ppp1r15b	5588	5588	5588	5588
